Ref,Designator,Value,Footprint,Qty,Unit USD,Total USD,Note,Source
J2,MicroSD,MicroSD socket push-push,MMCX,1,1.10,1.10,SD card slot,LCSC
J3,Coax connector,SMA edge-mount,SMA,2,0.80,1.60,C4D electrode coax connectors,LCSC
SW1,EC11 encoder,EC11 rotary encoder,EC11,1,1.20,1.20,Rotary nav,LCSC
SW2,Mode button,TS-1187A tactile,TACT-6x6,1,0.15,0.15,Mode,LCSC
SW3,Start/Stop button,TS-1187A tactile,TACT-6x6,1,0.15,0.15,Start/Stop,LCSC
SW4,Inject button,TS-1187A tactile,TACT-6x6,1,0.15,0.15,Inject,LCSC
SW5,Lid interlock,Slide switch SPDT,SW_SLIDE,1,0.30,0.30,Safety interlock (lid closed),LCSC
OPT1-OPT2,Vial sensors,TCRT5000 reflective,TCRT5000,2,0.40,0.80,Optical vial presence detection,LCSC
D1,Red LED,Red 0805,LED-0805,1,0.08,0.08,HV armed indicator,LCSC
D2,Green LED,Green 0805,LED-0805,1,0.08,0.08,Running indicator,LCSC
D3,WS2812B,WS2812B,LED-5050,1,0.20,0.20,RGB status LED,LCSC
R1-R8,Gain/bias resistors,10k 1%,R_0603,8,0.02,0.16,OPA656/AD8629 bias resistors,LCSC
R9,Battery divider,100k 1%,R_0603,2,0.02,0.04,Vbat 2:1 divider,LCSC
C1-C6,Decoupling 100n,100n X7R,C_0603,6,0.02,0.12,Decoupling,LCSC
C7-C8,Decoupling 10u,10u X5R,C_0805,2,0.05,0.10,Bulk decoupling,LCSC
C9,VREF cap,1u X7R,C_0603,1,0.03,0.03,VREF decoupling,LCSC
L1-L2,Ferrite beads,BLM18PG121,FB-0603,2,0.10,0.20,Analog/digital isolation,LCSC
PCB,PCB,4-layer 80x50mm,JLCPCB,1,4.00,4.00,4-layer PCB fab with HV slot,JLCPCB
MISC,C4D cell,3D-printed PLA + Cu electrodes,Custom,1,2.00,2.00,C4D detector cell,Local
MISC,Enclosure,3D-printed PLA,Custom,1,1.50,1.50,Case (optional),Local
,,Total,,,,~$72.00,,
